TransactionID,TransactionDate,City,Category,Product,UnitPrice_SAR,Quantity,TotalSales_SAR,PaymentMethod
1,2025-10-09,Medina,Electronics,iPhone 15,1602.01,2,3204.02,Mada
2,2026-03-09,Medina,Groceries,Dates Premium,25.72,1,25.72,Visa
3,2025-01-28,Jeddah,Groceries,Honey Pure,121.02,5,605.1,Apple Pay
4,2025-10-12,Jeddah,Beauty,Gift Set,373.77,1,373.77,Visa
5,2025-10-12,Medina,Beauty,Sunscreen,112.19,3,336.57,Mada
6,2026-01-03,Riyadh,Beauty,Oud Perfume,389.0,5,1945.0,Mastercard
7,2025-05-08,Riyadh,Beauty,Gift Set,439.25,4,1757.0,Mada
8,2026-01-06,Makkah,Home & Kitchen,Vacuum Cleaner,756.22,1,756.22,Mada
9,2025-03-23,Medina,Apparel,Sports Sneakers,527.66,1,527.66,Apple Pay
10,2025-06-16,Dammam,Beauty,Sunscreen,198.07,2,396.14,Mastercard
11,2025-06-25,Medina,Electronics,Smart Watch,2903.63,2,5807.26,Visa
12,2025-08-13,Khobar,Beauty,Sunscreen,323.85,1,323.85,Visa
13,2025-10-02,Riyadh,Home & Kitchen,Dinner Set,219.5,5,1097.5,Mastercard
14,2026-04-15,Jeddah,Beauty,Beard Oil,107.15,2,214.3,Visa
15,2025-09-27,Medina,Groceries,Honey Pure,154.46,4,617.84,Cash
16,2025-05-22,Khobar,Home & Kitchen,Air Fryer,685.0,1,685.0,Mada
17,2026-03-09,Riyadh,Apparel,Abaya Modern,398.2,4,1592.8,Apple Pay
18,2025-09-15,Makkah,Beauty,Gift Set,438.43,1,438.43,Mada
19,2025-12-15,Medina,Groceries,Basmati Rice,40.08,4,160.32,Visa
20,2026-05-28,Khobar,Electronics,Sony Headphones,3928.83,5,19644.15,Mada
21,2025-07-23,Medina,Home & Kitchen,Vacuum Cleaner,310.48,2,620.96,Cash
22,2025-11-28,Makkah,Electronics,Smart Watch,2698.73,1,2698.73,Mastercard
23,2025-09-04,Dammam,Apparel,Thobe Classic,539.0,1,539.0,Mada
24,2026-06-30,Medina,Beauty,Oud Perfume,356.33,2,712.66,Apple Pay
25,2026-06-25,Makkah,Apparel,Sports Sneakers,536.22,4,2144.88,Visa
26,2026-02-13,Makkah,Apparel,Sports Sneakers,597.57,3,1792.71,Apple Pay
27,2025-09-11,Makkah,Beauty,Oud Perfume,139.88,3,419.64,Mada
28,2025-08-14,Makkah,Groceries,Olive Oil,21.29,1,21.29,Visa
29,2025-03-14,Riyadh,Electronics,Sony Headphones,2813.7,3,8441.1,Apple Pay
30,2026-04-30,Jeddah,Groceries,Olive Oil,63.74,4,254.96,Apple Pay
31,2026-03-18,Jeddah,Electronics,iPhone 15,2094.34,4,8377.36,Apple Pay
32,2025-03-04,Medina,Electronics,iPhone 15,2311.8,3,6935.4,Mada
33,2026-04-05,Jeddah,Apparel,Abaya Modern,170.09,2,340.18,Mastercard
34,2026-03-30,Khobar,Apparel,Thobe Classic,504.01,5,2520.05,Mada
35,2025-04-06,Riyadh,Groceries,Dates Premium,186.75,2,373.5,Visa
36,2025-08-07,Khobar,Beauty,Beard Oil,395.86,1,395.86,Visa
37,2025-09-29,Khobar,Electronics,iPad Air,4669.33,4,18677.32,Mastercard
38,2025-06-08,Khobar,Groceries,Arabic Coffee Beans,54.18,2,108.36,Mada
39,2025-11-18,Makkah,Groceries,Dates Premium,30.29,5,151.45,Apple Pay
40,2025-02-28,Makkah,Groceries,Olive Oil,192.94,1,192.94,Visa
41,2025-08-29,Riyadh,Groceries,Dates Premium,92.68,5,463.4,Visa
42,2025-03-25,Makkah,Groceries,Dates Premium,95.46,5,477.3,Cash
43,2025-07-29,Makkah,Home & Kitchen,Blender,853.21,3,2559.63,Visa
44,2025-11-04,Dammam,Beauty,Moisturizer,232.89,1,232.89,Mada
45,2025-04-13,Khobar,Groceries,Honey Pure,33.19,2,66.38,Cash
46,2025-03-12,Dammam,Apparel,Sports Sneakers,539.64,3,1618.92,Mastercard
47,2025-11-06,Jeddah,Beauty,Gift Set,294.67,5,1473.35,Mada
48,2025-04-17,Medina,Groceries,Basmati Rice,189.01,2,378.02,Mastercard
49,2025-06-09,Riyadh,Electronics,Smart Watch,1725.57,5,8627.85,Visa
50,2025-09-28,Medina,Home & Kitchen,Air Fryer,680.68,3,2042.04,Mada
51,2025-02-15,Riyadh,Beauty,Sunscreen,51.42,2,102.84,Mastercard
52,2026-03-14,Jeddah,Beauty,Gift Set,274.36,1,274.36,Mada
53,2025-02-06,Medina,Apparel,Formal Suit,517.3,5,2586.5,Cash
54,2025-02-12,Jeddah,Beauty,Moisturizer,173.3,1,173.3,Mastercard
55,2025-12-29,Jeddah,Apparel,Thobe Classic,490.06,4,1960.24,Cash
56,2025-06-16,Medina,Apparel,Abaya Modern,588.1,2,1176.2,Apple Pay
57,2026-02-26,Riyadh,Apparel,Sports Sneakers,501.12,2,1002.24,Mastercard
58,2025-02-09,Jeddah,Electronics,iPad Air,4363.67,2,8727.34,Visa
59,2025-08-22,Khobar,Home & Kitchen,Blender,384.07,2,768.14,Apple Pay
60,2025-10-13,Dammam,Home & Kitchen,Arabic Coffee Maker,518.7,5,2593.5,Apple Pay
61,2025-01-29,Medina,Groceries,Basmati Rice,40.76,3,122.28,Visa
62,2025-04-22,Makkah,Home & Kitchen,Arabic Coffee Maker,776.4,3,2329.2,Mastercard
63,2025-04-29,Khobar,Groceries,Honey Pure,89.34,5,446.7,Visa
64,2025-01-02,Dammam,Electronics,iPad Air,2839.64,5,14198.2,Visa
65,2025-12-05,Dammam,Beauty,Oud Perfume,299.26,1,299.26,Mastercard
66,2025-12-01,Makkah,Home & Kitchen,Dinner Set,572.52,3,1717.56,Cash
67,2026-01-24,Jeddah,Apparel,Leather Sandals,438.66,2,877.32,Cash
68,2025-01-01,Makkah,Home & Kitchen,Dinner Set,469.07,2,938.14,Apple Pay
69,2026-04-22,Makkah,Groceries,Basmati Rice,99.52,2,199.04,Cash
70,2025-10-18,Khobar,Apparel,Thobe Classic,357.73,5,1788.65,Mastercard
71,2025-08-19,Riyadh,Apparel,Sports Sneakers,503.28,2,1006.56,Mada
72,2025-03-16,Riyadh,Apparel,Leather Sandals,327.71,5,1638.55,Visa
73,2026-02-14,Medina,Beauty,Beard Oil,147.59,1,147.59,Mada
74,2026-06-15,Khobar,Apparel,Abaya Modern,332.27,5,1661.35,Visa
75,2026-04-21,Riyadh,Beauty,Moisturizer,317.03,5,1585.15,Cash
76,2026-06-01,Dammam,Beauty,Gift Set,220.7,5,1103.5,Apple Pay
77,2025-09-23,Jeddah,Beauty,Beard Oil,350.71,3,1052.13,Cash
78,2026-03-27,Khobar,Apparel,Sports Sneakers,138.74,3,416.22,Visa
79,2025-03-24,Dammam,Home & Kitchen,Blender,295.29,2,590.58,Apple Pay
80,2025-03-07,Medina,Apparel,Abaya Modern,307.43,3,922.29,Cash
81,2025-07-31,Khobar,Beauty,Oud Perfume,383.16,4,1532.64,Cash
82,2026-01-25,Medina,Electronics,Smart Watch,2646.41,3,7939.23,Mastercard
83,2025-08-14,Khobar,Beauty,Gift Set,245.29,3,735.87,Apple Pay
84,2025-12-11,Khobar,Electronics,iPad Air,3509.93,4,14039.72,Visa
85,2025-01-28,Khobar,Apparel,Formal Suit,553.46,5,2767.3,Cash
86,2026-03-15,Medina,Electronics,iPhone 15,1110.65,4,4442.6,Visa
87,2025-12-02,Riyadh,Home & Kitchen,Dinner Set,372.24,3,1116.72,Mastercard
88,2025-09-16,Khobar,Home & Kitchen,Dinner Set,1026.66,4,4106.64,Mada
89,2025-12-25,Medina,Groceries,Dates Premium,60.36,1,60.36,Mada
90,2025-01-21,Riyadh,Apparel,Abaya Modern,410.67,2,821.34,Visa
91,2025-08-12,Khobar,Electronics,Smart Watch,2592.65,3,7777.95,Mastercard
92,2025-04-28,Jeddah,Groceries,Honey Pure,160.0,2,320.0,Mastercard
93,2025-11-16,Riyadh,Groceries,Dates Premium,123.64,4,494.56,Apple Pay
94,2025-09-06,Medina,Apparel,Thobe Classic,150.95,3,452.85,Cash
95,2025-12-22,Riyadh,Groceries,Dates Premium,115.89,3,347.67,Mada
96,2026-03-07,Makkah,Home & Kitchen,Arabic Coffee Maker,1013.45,1,1013.45,Apple Pay
97,2026-03-22,Dammam,Beauty,Moisturizer,120.45,5,602.25,Mastercard
98,2026-04-22,Makkah,Groceries,Arabic Coffee Beans,98.4,5,492.0,Mastercard
99,2025-10-13,Dammam,Apparel,Thobe Classic,540.82,2,1081.64,Apple Pay
100,2025-12-11,Makkah,Groceries,Arabic Coffee Beans,25.17,3,75.51,Visa
101,2025-09-22,Khobar,Apparel,Sports Sneakers,270.17,5,1350.85,Mastercard
102,2025-07-15,Makkah,Electronics,Smart Watch,885.26,4,3541.04,Apple Pay
103,2026-05-18,Makkah,Apparel,Leather Sandals,324.09,1,324.09,Mada
104,2025-09-07,Dammam,Apparel,Leather Sandals,253.1,5,1265.5,Mastercard
105,2025-12-19,Khobar,Groceries,Honey Pure,96.59,5,482.95,Mastercard
106,2025-11-10,Dammam,Beauty,Sunscreen,150.56,1,150.56,Visa
107,2025-07-09,Dammam,Electronics,Smart Watch,1361.93,4,5447.72,Mastercard
108,2025-10-17,Medina,Groceries,Honey Pure,196.49,2,392.98,Mastercard
109,2025-11-06,Jeddah,Home & Kitchen,Air Fryer,164.86,5,824.3,Visa
110,2025-10-27,Dammam,Electronics,iPhone 15,3638.38,2,7276.76,Apple Pay
111,2025-10-19,Riyadh,Electronics,Smart Watch,2612.29,4,10449.16,Mastercard
112,2026-05-05,Jeddah,Electronics,Sony Headphones,1013.39,1,1013.39,Apple Pay
